IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.53.208,4,4,0.00,57.61,29.69,NRT
162.159.44.103,4,4,0.00,61.88,29.62,NRT
172.64.52.202,4,4,0.00,67.05,27.42,NRT
162.159.45.249,4,4,0.00,58.37,21.68,NRT
108.162.198.113,4,4,0.00,67.10,19.20,NRT
162.159.39.21,4,4,0.00,60.05,16.38,NRT
104.19.131.54,4,4,0.00,157.13,8.09,LAX
104.19.136.182,4,4,0.00,155.44,8.05,LAX
162.159.247.140,4,4,0.00,155.57,7.75,LAX
104.19.135.140,4,4,0.00,154.47,7.52,LAX
104.18.28.113,4,4,0.00,157.04,7.13,LAX
104.17.29.102,4,4,0.00,151.00,7.12,SJC
104.18.22.56,4,4,0.00,155.38,7.04,LAX
104.21.234.186,4,4,0.00,157.30,6.85,LAX
162.159.241.34,4,4,0.00,155.87,6.52,LAX
104.18.30.61,4,4,0.00,156.06,5.82,LAX
104.16.2.189,4,4,0.00,151.32,5.30,SJC
104.18.18.199,4,4,0.00,152.26,5.30,LAX
104.18.116.151,4,4,0.00,154.23,5.16,LAX
104.19.247.116,4,4,0.00,157.29,4.83,LAX
