IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:ba:cb1f:db45:500f:fe70,4,4,0.00,251.70,20.84
2606:4700::e6:8e16:8792:dc4c,4,4,0.00,247.87,20.06
2606:4700:0:ba:5c58:ffdc:e8d2:48c1,4,4,0.00,257.91,18.06
2606:4700:0:a29c:523c:937f:be13:f044,4,4,0.00,250.48,15.06
2606:4700:0:a29c:e8db:df80:fc09:d815,4,4,0.00,257.83,14.66
2606:4700:0:ba:cdeb:2df:147f:8796,4,4,0.00,256.15,13.12
2606:4700:0:ba:cb1f:dbdb:cb33:522d,4,4,0.00,243.77,11.43
2606:4700::e6:8e27:47b9:5c00,4,4,0.00,231.36,9.51
2606:4700::e9fe:8ed6:2cf6:48eb,4,4,0.00,244.89,9.13
2606:4700:0:ba:5c58:ffdc:e8ba:ccfa,4,4,0.00,254.11,6.41
